"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"BTCUSD_260327","Cross","Long","127644.54658269","113300.01511900","11042.00000000","11042.00000000","-1.09522162","2025-10-03 20:57:28.838","2025-10-10 21:17:01.638","Closed"
"BTCUSD_251226","Cross","Long","122127.80474156","111269.92614900","17259.00000000","17259.00000000","-1.37901308","2025-08-17 07:23:58.129","2025-10-10 21:17:01.638","Closed"
"BTCUSD_250926","Cross","Long","119055.61651402","109132.50197900","319.00000000","319.00000000","-0.02436318","2025-08-17 07:21:44.132","2025-09-26 08:04:40.752","Closed"
"BTCUSD_PERP","Isolated","Long","107999.06590689","117921.74469600","7432.00000000","7432.00000000","0.57905582","2025-05-28 14:51:45.907","2025-08-17 07:05:05.144","Closed"
