time,open,high,low,close,SMA #1,SMA #2,SMA #3
1759444680,605.13,605.13,605.11,605.11,605.4632200000002,605.6460600000019,605.3800049999974
1759444800,605.2,605.26,605.2,605.26,605.4562200000001,605.6387600000019,605.3870549999974
1759444920,605.32,605.35,605.32,605.35,605.4508200000002,605.6326600000018,605.3935299999974
1759445040,605.35,605.35,605.32,605.32,605.4454200000002,605.6272600000018,605.3975799999974
1759445160,605.3,605.37,605.3,605.37,605.4394200000003,605.6226600000018,605.4007799999974
1759445280,605.4,605.45,605.4,605.45,605.4352200000003,605.619360000002,605.4031299999973
1759445400,605.5,605.58,605.5,605.58,605.4336200000002,605.6164600000019,605.4061799999973
1759445520,605.56,605.56,605.56,605.56,605.4334200000003,605.6134600000019,605.4107299999973
1759445640,605.59,605.59,605.59,605.59,605.4340200000003,605.6102600000019,605.4144799999973
1759445760,605.56,605.57,605.54,605.56,605.4348200000003,605.6059600000019,605.4201299999972
1759445880,605.55,605.59,605.55,605.59,605.4360200000003,605.6009600000019,605.4254299999973
1759446000,605.57,605.57,605.5,605.5,605.4356200000003,605.5954600000019,605.4305299999972
1759446120,605.461,605.48,605.461,605.48,605.4342200000003,605.5904600000019,605.4357299999973
1759446240,605.5,605.5,605.42,605.42,605.4334200000003,605.583460000002,605.4404299999973
1759446360,605.5,605.57,605.5,605.57,605.4352200000003,605.579460000002,605.4457299999973
1759446480,605.59,605.59,605.59,605.59,605.4390200000003,605.579460000002,605.4506799999973
1759446600,605.6,605.76,605.6,605.72,605.4446200000002,605.5788600000019,605.4558799999974
1759446720,605.81,605.81,605.81,605.81,605.4520200000002,605.580860000002,605.4628299999973
1759446840,605.8,605.84,605.8,605.8,605.4598200000003,605.5817600000021,605.4680799999974
1759447080,605.8,605.85,605.8,605.85,605.4686200000002,605.581960000002,605.4751299999974
1759447200,605.72,605.78,605.72,605.76,605.4758200000002,605.582060000002,605.4812299999974
1759447320,605.74,605.75,605.74,605.75,605.4824200000003,605.580560000002,605.4871299999974
1759447560,605.791,605.791,605.791,605.791,605.4892400000003,605.5815700000021,605.4931849999974
1759447680,605.841,605.89,605.841,605.89,605.4970400000003,605.5839700000021,605.5002349999974
1759447800,605.9,605.91,605.9,605.91,605.5052400000003,605.5892700000021,605.5061349999974
1759447920,605.89,605.89,605.89,605.89,605.5134400000003,605.5923700000021,605.5134849999973
1759448040,605.89,605.89,605.89,605.89,605.5216400000003,605.5942200000022,605.5197349999974
1759448280,605.85,605.85,605.85,605.85,605.5296400000003,605.5925200000022,605.5281849999974
1759448400,605.96,605.99,605.94,605.94,605.5380400000003,605.5920200000022,605.5359349999974
1759448520,606,606,605.96,605.96,605.5462400000002,605.5911200000022,605.5433849999974
1759448640,605.989,605.989,605.96,605.96,605.5542600000002,605.5899200000023,605.5509349999974
1759448760,605.87,605.87,605.85,605.85,605.5612600000003,605.5879200000022,605.5581849999974
1759448880,605.89,605.89,605.85,605.85,605.5700400000002,605.5870200000023,605.5637349999975
1759449000,605.89,605.95,605.89,605.89,605.5770400000002,605.5859200000023,605.5685849999974
1759449120,605.979,605.979,605.92,605.92,605.5830400000002,605.5863200000023,605.5738849999973
1759449240,605.96,606.07,605.96,606.02,605.5920400000002,605.5869200000022,605.5796849999973
1759449360,606.01,606.03,605.96,605.98,605.6004400000002,605.5869200000022,605.5846349999973
1759449480,605.99,606.03,605.99,606.01,605.6092200000002,605.5883200000022,605.5908349999974
1759478400,607.5,607.77,605.86,607.73,605.6522200000003,605.6071200000023,605.6061349999974
1759478520,607.73,607.74,607.55,607.61,605.6922200000002,605.6245200000022,605.6204849999973
1759478640,607.65,607.8,607.61,607.75,605.7370200000001,605.6435200000022,605.6346349999973
1759478760,607.73,607.78,607.62,607.62,605.7794200000003,605.6616200000022,605.6487349999974
1759478880,607.67,607.71,607.6,607.69,605.8230200000002,605.6801200000023,605.6627849999974
1759479000,607.68,607.68,607.59,607.61,605.8668200000002,605.6983200000022,605.6762349999974
1759479120,607.67,607.68,607.59,607.65,605.9118200000003,605.7188200000022,605.6894849999975
1759479240,607.66,607.76,607.65,607.76,605.9616200000003,605.7394200000022,605.7029349999974
1759479360,607.71,607.71,607.65,607.66,606.0108200000002,605.7601200000022,605.7166349999975
1759479480,607.62,607.62,607.5,607.61,606.0632200000003,605.7807200000021,605.7299349999975
1759479600,607.59,607.62,607.56,607.62,606.1174200000003,605.8015200000023,605.7421349999975
1759479720,607.63,607.66,607.6,607.64,606.1708200000003,605.8218200000022,605.7541349999975
1759479840,607.64,607.7,607.61,607.66,606.2218200000003,605.8425200000022,605.7656349999975
1759479960,607.71,607.71,607.63,607.63,606.2692200000002,605.8627200000021,605.7776349999974
1759480080,607.61,607.69,607.61,607.68,606.3158200000003,605.8833200000022,605.7895349999975
1759480200,607.62,607.67,607.62,607.67,606.3628200000002,605.9041200000022,605.8006349999976
1759480320,607.66,607.66,607.59,607.63,606.4080200000003,605.9237200000022,605.8120349999975
1759480440,607.59,607.59,607.53,607.54,606.4498200000002,605.9425200000022,605.8236349999975
1759480560,607.56,607.56,607.49,607.53,606.4888200000001,605.9612200000022,605.8348849999975
1759480680,607.55,607.63,607.55,607.61,606.5298200000002,605.9816200000022,605.8456849999975
1759480800,607.61,607.61,607.56,607.59,606.5698200000002,606.0019200000022,605.8557849999975
1759480920,607.6,607.62,607.59,607.62,606.6110200000002,606.0229200000022,605.8666349999975
1759481040,607.59,607.65,607.54,607.61,606.6514200000001,606.0437200000022,605.8781349999975
1759481160,607.61,607.64,607.61,607.64,606.6942200000001,606.0649200000022,605.8899849999975
1759481280,607.64,607.68,607.6,607.64,606.7374200000002,606.0858200000022,605.9015849999975
1759481400,607.62,607.62,607.6,607.61,606.7812200000001,606.1073200000022,605.9128349999975
1759481520,607.67,607.68,607.65,607.66,606.8230200000002,606.1291200000022,605.9250849999975
1759481640,607.67,607.67,607.64,607.64,606.8640200000001,606.1515200000022,605.9374349999975
1759481760,607.64,607.69,607.64,607.65,606.9026200000001,606.1736200000022,605.9497349999975
1759481880,607.7,607.73,607.7,607.72,606.94082,606.1964200000021,605.9620849999975
1759482000,607.75,607.78,607.74,607.75,606.97982,606.2198200000022,605.9751849999975
1759482120,607.75,607.8,607.69,607.7,607.01682,606.2427200000021,605.9873349999975
1759482240,607.66,607.67,607.55,607.63,607.05422,606.2650200000022,605.9987849999975
1759482360,607.7,607.72,607.7,607.71,607.0934199999999,606.2879200000021,606.0105349999975
1759482480,607.7,607.7,607.66,607.66,607.1308,606.3100200000022,606.0211849999974
1759482600,607.7,607.77,607.68,607.72,607.1673999999999,606.3322200000022,606.0317849999975
1759482720,607.75,607.77,607.69,607.69,607.203,606.3541200000022,606.0421349999975
1759482840,607.67,607.68,607.65,607.66,607.2384,606.3759200000022,606.0522849999975
1759482960,607.68,607.68,607.56,607.56,607.2718,606.3967200000021,606.0618849999975
1759483080,607.58,607.58,607.48,607.5,607.3048,606.4172200000022,606.0707349999975
1759483200,607.49,607.61,607.47,607.47,607.3353999999999,606.4367200000022,606.0794849999975
1759483320,607.52,607.61,607.52,607.52,607.3666000000001,606.4564200000021,606.0878849999975
1759483440,607.57,607.61,607.56,607.58,607.399,606.4766300000022,606.0978349999975
1759483560,607.59,607.59,607.56,607.56,607.4331999999999,606.4972300000022,606.1071349999975
1759483680,607.54,607.59,607.54,607.54,607.467,606.5185200000021,606.1167849999975
1759483800,607.56,607.61,607.55,607.55,607.5002000000001,606.5386200000022,606.1257849999976
1759483920,607.56,607.61,607.56,607.61,607.534,606.5585200000022,606.1356849999976
1759484040,607.6,607.65,607.59,607.64,607.5664,606.5792200000021,606.1455349999975
1759484160,607.62,607.64,607.6,607.61,607.599,606.5997200000022,606.1547349999976
1759484280,607.63,607.74,607.62,607.74,607.6336,606.6214100000021,606.1646349999976
1759484400,607.74,607.76,607.69,607.7,607.6329999999999,606.6426100000022,606.1747349999976
1759484520,607.72,607.72,607.61,607.61,607.6329999999999,606.6626100000021,606.1841849999976
1759484640,607.63,607.65,607.62,607.64,607.6307999999999,606.6839100000021,606.1941849999976
1759484760,607.68,607.73,607.67,607.73,607.6329999999999,606.7062100000022,606.2043849999976
1759484880,607.75,607.76,607.7,607.72,607.6335999999999,606.7283100000021,606.2153849999976
1759485000,607.77,607.77,607.75,607.76,607.6365999999999,606.7517100000022,606.2254849999975
1759485120,607.77,607.78,607.74,607.74,607.6383999999999,606.7751100000022,606.2354849999975
1759485240,607.75,607.83,607.75,607.82,607.6396,606.8006100000022,606.2450349999975
1759485360,607.83,607.83,607.78,607.79,607.6421999999999,606.8265100000023,606.2549349999975
1759485480,607.79,607.94,607.79,607.93,607.6486,606.8559100000023,606.2650849999975
1759485600,607.97,608,607.88,607.95,607.6551999999999,606.8863100000023,606.2750349999975
1759485720,607.95,607.96,607.9,607.9,607.6604,606.9156100000023,606.2847349999976
1759485840,607.92,607.94,607.9,607.94,607.6659999999999,606.9439100000022,606.2949849999975
1759485960,607.93,608.03,607.93,607.94,607.6722,606.9707100000023,606.3047349999975
1759486080,607.93,607.93,607.85,607.85,607.6756,606.9957100000023,606.3141849999976
1759486200,607.87,607.89,607.79,607.79,607.678,607.0204100000024,606.3238349999975
1759486320,607.78,607.8,607.76,607.77,607.6808,607.0444100000024,606.3335349999976
1759486440,607.74,607.87,607.74,607.81,607.6862,607.0680100000022,606.3436849999975
1759486560,607.81,607.82,607.72,607.72,607.69,607.0894100000022,606.3529349999975
1759486680,607.71,607.76,607.71,607.76,607.693,607.1114100000023,606.3624349999976
1759486800,607.75,607.76,607.7,607.7,607.6952,607.1325100000022,606.3713849999975
1759486920,607.66,607.73,607.65,607.73,607.6974,607.1542100000022,606.3800849999975
1759487040,607.72,607.74,607.67,607.67,607.6986,607.1750100000022,606.3879849999976
1759487160,607.64,607.71,607.64,607.71,607.7,607.1971100000022,606.3962849999975
1759487280,607.68,607.69,607.59,607.62,607.6996,607.2185100000022,606.4044849999975
1759487400,607.65,607.65,607.62,607.63,607.7,607.2406100000022,606.4120349999976
1759487520,607.62,607.62,607.54,607.54,607.6976,607.2603100000022,606.4198849999976
1759487640,607.5,607.5,607.29,607.29,607.6906,607.2773100000022,606.4283849999975
1759487760,607.34,607.34,607.28,607.28,607.6832,607.2929100000023,606.4358849999975
1759487880,607.24,607.26,607.11,607.24,607.6736,607.3072100000023,606.4440349999975
1759488000,607.25,607.42,607.25,607.36,607.6658,607.3228100000022,606.4522849999975
1759488120,607.36,607.46,607.35,607.35,607.6588,607.3378100000023,606.4598849999975
1759488240,607.41,607.42,607.4,607.41,607.6544,607.3543100000022,606.4681849999974
1759488360,607.44,607.47,607.41,607.41,607.6484,607.3709100000023,606.4757349999975
1759488480,607.44,607.46,607.4,607.41,607.6434,607.3871000000022,606.4843349999975
1759488600,607.42,607.47,607.4,607.45,607.6380000000001,607.4027000000023,606.4933349999975
1759488720,607.46,607.46,607.43,607.43,607.6328000000001,607.4179000000022,606.5035849999975
1759488840,607.42,607.42,607.41,607.41,607.6278000000001,607.4331000000022,606.5127349999975
1759488960,607.4,607.4,607.31,607.32,607.623,607.4474000000023,606.5208099999975
1759489080,607.31,607.31,607.23,607.23,607.6176,607.4612000000022,606.5268599999976
1759489200,607.23,607.41,607.18,607.401,607.6162200000001,607.4758100000022,606.5339149999976
1759489320,607.41,607.42,607.22,607.25,607.6108200000002,607.4887100000022,606.5399149999976
1759489440,607.23,607.27,607.18,607.27,607.6046200000002,607.5018100000023,606.5458649999975
1759489560,607.35,607.35,607.31,607.31,607.5996200000002,607.5164100000023,606.5521649999976
1759489680,607.28,607.31,607.27,607.31,607.5950200000002,607.5310100000022,606.5590149999975
1759489800,607.29,607.29,607.19,607.19,607.5878200000002,607.5440100000022,606.5649649999975
1759489920,607.25,607.3,607.05,607.06,607.5768200000002,607.5554100000022,606.5708649999975
1759490040,607.05,607.11,607.01,607.11,607.5662200000003,607.5663100000022,606.5766149999976
1759490160,607.08,607.13,606.98,606.98,607.5536200000003,607.5763100000022,606.5816149999976
1759490280,607,607.02,606.92,607,607.5388200000002,607.5862100000022,606.5872649999976
1759490400,607.01,607.07,606.9,606.9,607.5228200000003,607.5779100000021,606.5925149999975
1759490520,606.92,606.92,606.9,606.9,607.5086200000002,607.5708100000022,606.5976649999975
1759490640,606.94,606.96,606.9,606.96,607.4950200000002,607.5629100000021,606.6032149999975
1759490760,606.9,606.93,606.76,606.76,607.4756200000002,607.5543100000021,606.6079649999975
1759490880,606.79,606.88,606.72,606.87,607.4586200000001,607.5461100000022,606.6131149999976
1759491000,606.84,606.84,606.65,606.75,607.4384200000001,607.5375100000022,606.6179149999975
1759491120,606.81,606.81,606.76,606.77,607.41902,607.5287100000021,606.6237649999975
1759491240,606.71,606.73,606.52,606.56,607.3938200000001,607.516710000002,606.6280649999976
1759491360,606.55,606.73,606.53,606.73,607.3726200000002,607.5074100000021,606.6337649999975
1759491480,606.72,606.89,606.71,606.89,607.3518200000002,607.5002100000021,606.6404649999976
1759491600,606.87,607.02,606.86,606.93,607.3314200000001,607.4933100000021,606.6474149999976
1759491720,606.99,607.08,606.99,607.08,607.3150200000001,607.4877100000022,606.6547649999976
1759491840,607.13,607.21,607.12,607.21,607.3004200000001,607.483210000002,606.6628649999976
1759491960,607.17,607.17,607.12,607.12,607.2840200000002,607.4781100000022,606.6704149999975
1759492080,607.15,607.2,607.15,607.19,607.2708200000002,607.473210000002,606.6782649999975
1759492200,607.23,607.29,607.21,607.26,607.2602200000002,607.4691100000022,606.6866149999976
1759492320,607.26,607.26,606.9,607.01,607.2450200000002,607.4629100000021,606.6933149999976
1759492440,606.91,606.91,606.6,606.8,607.2248200000001,607.455510000002,606.6990149999976
1759492560,606.8,606.88,606.56,606.57,607.2018200000002,607.4459100000021,606.7035649999976
1759492680,606.64,606.7,606.47,606.65,607.1796200000002,607.4363100000021,606.7089649999976
1759492800,606.63,606.7,606.52,606.7,607.1596200000002,607.4274100000022,606.7146649999976
1759492920,606.67,606.78,606.66,606.78,607.1406200000002,607.4190100000021,606.7209649999976
1759493040,606.75,606.84,606.72,606.84,607.1240200000002,607.4113100000021,606.7275149999975
1759493160,606.8,606.8,606.75,606.75,607.1048200000001,607.4024100000021,606.7336649999976
1759493280,606.75,606.81,606.67,606.67,607.0858200000001,607.3927100000021,606.7392649999975
1759493400,606.65,606.85,606.63,606.85,607.0702200000002,607.3851100000022,606.7462149999975
1759493520,606.83,606.84,606.68,606.81,607.0556200000002,607.3766100000021,606.7528649999975
