timestamp,percentage,depth,notional,weighted_avg_price
2025-10-10 00:04:02,-5,8434.513,1003393037.1828,118962.770841992
2025-10-10 00:04:02,-4,7690.859,916970922.3593,119228.674242929
2025-10-10 00:04:02,-3,6731.105,804345365.385,119496.778817891
2025-10-10 00:04:02,-2,4058.571,487780048.2949,120185.170665956
2025-10-10 00:04:02,-1,1700.294,205977806.9607,121142.465338759
2025-10-10 00:04:02,1,2560.689,312904361.1589,122195.378337198
2025-10-10 00:04:02,2,3982.715,488342248.8715,122615.414075951
2025-10-10 00:04:02,3,4647.569,571199858.1817,122902.932303254
2025-10-10 00:04:02,4,5659.009,698649298.4259,123457.887843243
2025-10-10 00:04:02,5,6566.855,813799755.192,123925.34252576
2025-10-10 00:04:33,-5,8480.586,1008984154.1402,118975.758767165
2025-10-10 00:04:33,-4,7735.327,922375245.864,119241.920330453
2025-10-10 00:04:33,-3,6773.588,809517793.1873,119510.928799818
2025-10-10 00:04:33,-2,4102.323,493103018.2582,120200.924758533
2025-10-10 00:04:33,-1,1744.596,211365644.8265,121154.493548363
2025-10-10 00:04:33,1,2519.97,307961107.7073,122208.243632781
2025-10-10 00:04:33,2,3935.624,482617142.1151,122627.858279932
2025-10-10 00:04:33,3,4601.81,565641109.3271,122917.093345249
2025-10-10 00:04:33,4,5612.793,693033280.1771,123473.871239702
2025-10-10 00:04:33,5,6520.674,808188171.7357,123942.428610248
2025-10-10 00:05:01,-5,8429.433,1002623484.4852,118943.170256552
2025-10-10 00:05:01,-4,7676.328,915125981.7713,119214.028083649
2025-10-10 00:05:01,-3,6705.912,801262243.6098,119485.946670609
2025-10-10 00:05:01,-2,4039.085,485382580.3704,120171.42010391
2025-10-10 00:05:01,-1,1680.253,203521432.0972,121125.468662874
2025-10-10 00:05:01,1,2531.359,309292245.0275,122184.267434015
2025-10-10 00:05:01,2,3980.006,487995694.8841,122611.798797313
2025-10-10 00:05:01,3,4646.514,571057905.2482,122900.287236453
2025-10-10 00:05:01,4,5654.092,698017716.389,123453.54769413
2025-10-10 00:05:01,5,6566.331,813723110.0953,123923.559457374
2025-10-10 00:05:31,-5,8471.75,1007658121.062,118943.325884498
2025-10-10 00:05:31,-4,7719.8,920299370.5031,119212.851434377
2025-10-10 00:05:31,-3,6747.502,806223551.8034,119484.744399246
2025-10-10 00:05:31,-2,4078.722,490119740.8723,120165.0273964
2025-10-10 00:05:31,-1,1709.383,207004231.9568,121098.801121106
2025-10-10 00:05:31,1,2285.079,279011077.3858,122101.282881598
2025-10-10 00:05:31,2,3904.717,478636608.521,122579.077695259
2025-10-10 00:05:31,3,4626.19,568515118.6952,122890.568414873
2025-10-10 00:05:31,4,5620.675,693819567.4674,123440.612998866
2025-10-10 00:05:31,5,6540.269,810447959.1954,123916.60942316
2025-10-10 00:06:04,-5,8419.373,1001303786.6103,118928.545701717
2025-10-10 00:06:04,-4,7670.928,914353929.6841,119197.303075208
2025-10-10 00:06:04,-3,6700.721,800526495.334,119468.710208051
2025-10-10 00:06:04,-2,4038.551,485213383.535,120145.414415963
2025-10-10 00:06:04,-1,1672.744,202533034.9551,121078.320983426
2025-10-10 00:06:04,1,2342.761,286008478.1999,122081.799295745
2025-10-10 00:06:04,2,3971.581,486755234.0206,122559.563564384
2025-10-10 00:06:04,3,4691.112,576385201.1148,122867.499457442
2025-10-10 00:06:04,4,5691.663,702448787.4508,123417.143188344
2025-10-10 00:06:04,5,6608.948,818782176.2832,123889.940771693
2025-10-10 00:06:30,-5,8445.657,1004468358.9403,118933.122543373
2025-10-10 00:06:30,-4,7695.424,917310047.0127,119202.014991338
2025-10-10 00:06:30,-3,6724.333,803378348.9481,119473.314148496
2025-10-10 00:06:30,-2,4061.691,488009277.078,120149.286855647
2025-10-10 00:06:30,-1,1692.619,204937787.0146,121077.328692754
2025-10-10 00:06:30,1,2297.911,280549237.7688,122088.817960661
2025-10-10 00:06:30,2,3924.671,481042396.3429,122568.846240335
2025-10-10 00:06:30,3,4644.74,570739982.8089,122878.779610678
2025-10-10 00:06:30,4,5644.348,696685389.8901,123430.622968339
2025-10-10 00:06:30,5,6563.495,813256586.6171,123906.026685036
2025-10-10 00:07:02,-5,8439.581,1003740559.5612,118932.510934038
2025-10-10 00:07:02,-4,7691.593,916844223.7659,119200.824038128
2025-10-10 00:07:02,-3,6734.07,804512767.0859,119469.02350078
2025-10-10 00:07:02,-2,4059.779,487771937.5193,120147.411353992
2025-10-10 00:07:02,-1,1686.784,204232331.8806,121077.939961845
2025-10-10 00:07:02,1,2317.123,282891922.3476,122087.572540431
2025-10-10 00:07:02,2,3938.731,482749174.5379,122564.646973327
2025-10-10 00:07:02,3,4659.522,572535901.4457,122874.38527937
2025-10-10 00:07:02,4,5659.183,698487834.1931,123425.560578815
2025-10-10 00:07:02,5,6576.542,814830559.4467,123899.54469183
2025-10-10 00:07:32,-5,8446.243,1004459268.4015,118923.79468617
2025-10-10 00:07:32,-4,7691.832,916821516.2304,119194.168077306
2025-10-10 00:07:32,-3,6745.177,805773754.3323,119459.245373739
2025-10-10 00:07:32,-2,4113.799,494160571.9674,120122.682699714
2025-10-10 00:07:32,-1,1686.648,204182753.4605,121058.308230585
2025-10-10 00:07:32,1,2302.085,281015225.1094,122069.873662093
2025-10-10 00:07:32,2,3923.75,480870301.1851,122553.756275272
2025-10-10 00:07:32,3,4640.396,570137063.0192,122863.88123324
2025-10-10 00:07:32,4,5639.762,696045786.9234,123417.581614863
2025-10-10 00:07:32,5,6560.7,812838926.9753,123895.152495206
2025-10-10 00:08:01,-5,8402.089,999082169.6654,118908.782049964
2025-10-10 00:08:01,-4,7708.085,918492369.7427,119159.605757163
2025-10-10 00:08:01,-3,6712.833,801787279.7809,119440.969227285
2025-10-10 00:08:01,-2,4074.722,489383491.7209,120102.301879956
2025-10-10 00:08:01,-1,1627.84,197036499.6736,121041.686943189
2025-10-10 00:08:01,1,2267.279,276734059.0191,122055.582492979
2025-10-10 00:08:01,2,3899.413,477866454.2528,122548.305155879
2025-10-10 00:08:01,3,4619.298,567533571.2934,122861.43290461
2025-10-10 00:08:01,4,5615.932,693095934.0845,123416.012530868
2025-10-10 00:08:01,5,6537.405,809953003.406,123895.185231143
2025-10-10 00:08:33,-5,8444.638,1004269875.9162,118923.969969607
2025-10-10 00:08:33,-4,7691.631,916794109.0691,119193.719650501
2025-10-10 00:08:33,-3,6743.597,805583813.8674,119459.068189781
2025-10-10 00:08:33,-2,4078.615,489966841.1691,120130.691710078
2025-10-10 00:08:33,-1,1669.018,202061365.3021,121066.019241314
2025-10-10 00:08:33,1,2269.336,277025327.6452,122073.297054821
2025-10-10 00:08:33,2,3886.7,476348975.6447,122558.719645123
2025-10-10 00:08:33,3,4603.134,565589399.7558,122870.505128854
2025-10-10 00:08:33,4,5602.727,691526825.329,123426.828637019
2025-10-10 00:08:33,5,6523.438,808291312.8123,123905.724682644
2025-10-10 00:09:02,-5,8438.727,1003594959.9112,118927.293170072
2025-10-10 00:09:02,-4,7691.658,916806124.7079,119194.863410191
2025-10-10 00:09:02,-3,6734.967,804573995.3551,119462.203059807
2025-10-10 00:09:02,-2,4080.301,490172783.4393,120131.525453465
2025-10-10 00:09:02,-1,1663.984,201459119.0177,121070.346239928
2025-10-10 00:09:02,1,2274.474,277670426.2844,122081.160868139
2025-10-10 00:09:02,2,3885.904,476267519.7509,122562.863043168
